"","index","X","id","ano","anoconc","conc","cust","cust_km","rec","rec_km","tar","mat","avg","etp","npp","ext","value","fator","coef_adj","cust_adj","rec_adj","cust_km_adj","rec_km_adj","tar_adj"
"1",2012 jan,1,1,2012,"2012AUTOFERNAODIAS","AUTOFERNAODIAS",398891,709.640014648438,224989.34375,400.269989013672,1.39999997615814,1473,3.28999996185303,2,8,562.099975585938,3422.79,1.34135602826934,1.32939210410221,530282.545797434,299099.057088388,943.395425777528,532.11006952385,1.86114891404791
"2",2013 jan,2,2,2013,"2013AUTOFERNAODIAS","AUTOFERNAODIAS",421493,749.849975585938,231870,412.510009765625,1.5,1838,3.28999996185303,2,8,562.099975585938,3633.44,1.26359042670307,1.25232011537276,527844.162388811,290375.465151482,939.057436959646,516.590424770597,1.87848017305914
"3",2014 jan,3,3,2014,"2014AUTOFERNAODIAS","AUTOFERNAODIAS",417902,743.469970703125,247025,439.470001220703,1.60000002384186,2203,3.28999996185303,2,8,562.099975585938,3836.37,1.19675109543657,1.1860769425264,495663.926435667,292990.656727584,881.807414986956,521.242962912723,1.89772313632052
"4",2015 jan,4,4,2015,"2015AUTOFERNAODIAS","AUTOFERNAODIAS",420194,747.539978027344,242129,430.760009765625,1.79999995231628,2568,4,2,8,562.099975585938,4110.2,1.11702106953433,1.10705805070313,465179.150557151,268050.858758698,827.573689310774,476.873991106794,1.99270443847699
"5",2016 jan,5,5,2016,"2016AUTOFERNAODIAS","AUTOFERNAODIAS",392979,699.130004882812,262593,467.160003662109,2.09999990463257,2934,3,2,8,562.099975585938,4550.23,1.00899954507794,1,392979,262593,699.126520314034,467.16422594801,2.09999990463257
"6",2012 jan,6,6,2012,"2012AUTOFLUMINENSE","AUTOFLUMINENSE",258674,808.099975585938,150237.65625,150237.65625,3.09999990463257,258674,3,2,5,320.100006103516,3422.79,1.34135602826934,1.32939210410221,343879.173136535,199724.753957572,1074.28668097347,623.944861447405,4.12111539593614
"7",2013 jan,7,7,2013,"2013AUTOFLUMINENSE","AUTOFLUMINENSE",349676,1092.40002441406,158958,158958,3.29999995231628,349676,4,2,5,320.100006103516,3633.44,1.26359042670307,1.25232011537276,437906.288663085,199066.300899423,1368.02961672382,621.887838499596,4.13265632101483
"8",2014 jan,8,8,2014,"2014AUTOFLUMINENSE","AUTOFLUMINENSE",417913,1305.56994628906,165004,165004,3.40000009536743,417913,4,2,5,320.100006103516,3836.37,1.19675109543657,1.1860769425264,495676.973282035,195707.439824626,1548.50660365729,611.394676953979,4.03266171770287
"9",2015 jan,9,9,2015,"2015AUTOFLUMINENSE","AUTOFLUMINENSE",413440,1291.59997558594,172822,172822,3.79999995231628,413440,4,2,5,320.100006103516,4110.2,1.11702106953433,1.10705805070313,457702.080482702,191323.986438616,1429.8721391923,597.700664762701,4.20682053988324
"10",2016 jan,10,10,2016,"2016AUTOFLUMINENSE","AUTOFLUMINENSE",433367,1353.84997558594,184300,184300,4.5,433367,4,2,5,320.100006103516,4550.23,1.00899954507794,1,433367,184300,1353.84877143631,575.757564779302,4.5
"11",2012 jan,11,11,2012,"2012AUTOLITORALSUL","AUTOLITORALSUL",313890,821.059997558594,174050.59375,455.269989013672,1.5,1408,3.5,2,5,382.299987792969,3422.79,1.34135602826934,1.32939210410221,417282.887556642,231381.485045551,1091.50641088332,605.235397420033,1.99408815615331
"12",2013 jan,12,12,2013,"2013AUTOLITORALSUL","AUTOLITORALSUL",383325,1002.67999267578,196335,513.559997558594,1.70000004768372,1773,3.5,2,5,382.299987792969,3633.44,1.26359042670307,1.25232011537276,480045.608225263,245874.269851711,1255.6778016044,643.14485404813,2.12894425584897
"13",2014 jan,13,13,2014,"2014AUTOLITORALSUL","AUTOLITORALSUL",537621,1406.28002929688,217684,569.409973144531,1.79999995231628,2138,3.5,2,5,382.299987792969,3836.37,1.19675109543657,1.1860769425264,637659.871917985,258189.973156917,1667.95681998113,675.359616534272,2.13493843999096
"14",2015 jan,14,14,2015,"2015AUTOLITORALSUL","AUTOLITORALSUL",439845,1150.52001953125,223440,584.460021972656,1.89999997615814,2503,3.77999997138977,2,5,382.299987792969,4110.2,1.11702106953433,1.10705805070313,486933.948311518,247361.050849107,1273.69595568811,647.033896802171,2.10341026994162
"15",2016 jan,15,15,2016,"2016AUTOLITORALSUL","AUTOLITORALSUL",625628,1636.47998046875,263932,690.380004882812,2.29999995231628,2869,4.5,2,5,382.299987792969,4550.23,1.00899954507794,1,625628,263932,1636.48448856034,690.379305329536,2.29999995231628
"16",2012 jan,16,16,2012,"2012AUTOPLANALTOSUL","AUTOPLANALTOSUL",212264,514.330017089844,92494.328125,224.119995117188,3.59999990463257,1473,3.16000008583069,2,5,412.700012207031,3422.79,1.34135602826934,1.32939210410221,282182.085585151,122961.229483614,683.746249669589,297.943362846159,4.78581144798724
"17",2013 jan,17,17,2013,"2013AUTOPLANALTOSUL","AUTOPLANALTOSUL",193185,468.100006103516,103544,250.889999389648,3.79999995231628,1838,4.15999984741211,2,5,412.700012207031,3633.44,1.26359042670307,1.25232011537276,241929.461488287,129670.234026157,586.211423146076,314.19973392467,4.7588163787012
"18",2014 jan,18,18,2014,"2014AUTOPLANALTOSUL","AUTOPLANALTOSUL",272329,659.869995117188,115028,278.720001220703,4.09999990463257,2203,3.32999992370605,2,5,412.700012207031,3836.37,1.19675109543657,1.1860769425264,323003.147681272,136432.058544927,782.658439853006,330.58409137261,4.86291535124512
"19",2015 jan,19,19,2015,"2015AUTOPLANALTOSUL","AUTOPLANALTOSUL",275786,668.25,109116,264.399993896484,4.80000019073486,2568,3.16000008583069,2,5,412.700012207031,4110.2,1.11702106953433,1.10705805070313,305311.111571213,120797.746260523,739.789441581247,292.701096892443,5.31387885452958
"20",2016 jan,20,20,2016,"2016AUTOPLANALTOSUL","AUTOPLANALTOSUL",271807,658.609985351562,122770,297.480010986328,5.59999990463257,2934,4,2,5,412.700012207031,4550.23,1.00899954507794,1,271807,122770,658.606716647365,297.48000089327,5.59999990463257
"21",2012 jan,21,21,2012,"2012AUTOREGIS","AUTOREGIS",382983,953.640014648438,262972.90625,654.809997558594,1.79999995231628,1473,4,2,6,401.600006103516,3422.79,1.34135602826934,1.32939210410221,509134.576205376,349594.10516156,1267.76535972996,870.503236674377,2.39290572399362
"22",2013 jan,22,22,2013,"2013AUTOREGIS","AUTOREGIS",385457,959.799987792969,270240,672.909973144531,1.79999995231628,1838,4.11999988555908,2,6,401.600006103516,3633.44,1.26359042670307,1.25232011537276,482715.554711238,338426.987978335,1201.98094465869,842.696670405682,2.25417614795569
"23",2014 jan,23,23,2014,"2014AUTOREGIS","AUTOREGIS",577564,1438.16003417969,267148,665.210021972656,2,2203,4.11999988555908,2,6,401.600006103516,3836.37,1.19675109543657,1.1860769425264,685035.343233317,316858.083042042,1705.76527097149,788.989238611638,2.3721538850528
"24",2015 jan,24,24,2015,"2015AUTOREGIS","AUTOREGIS",596580,1485.51000976562,267866,667,2.5,2568,4,2,6,401.600006103516,4110.2,1.11702106953433,1.10705805070313,660448.691888473,296543.211809644,1644.54353050542,738.404400654336,2.76764512675782
"25",2016 jan,25,25,2016,"2016AUTOREGIS","AUTOREGIS",621184,1546.77001953125,317348,790.210021972656,3,2934,4.88000011444092,2,6,401.600006103516,4550.23,1.00899954507794,1,621184,317348,1546.77288485868,790.209151337016,3
"26",2012 jan,26,26,2012,"2012CCRPONTE","CCRPONTE",56265,4262.5,143798.09375,10893.7998046875,4.88000011444092,5980,4,1,1,13.1999998092651,3422.79,1.34135602826934,1.32939210410221,74798.2467373108,191164.050416199,5666.53392561489,14482.1252407914,6.48743362015563
"27",2013 jan,27,27,2013,"2013CCRPONTE","CCRPONTE",67570,5118.93994140625,150342,11389.5498046875,4.94999980926514,6345,4,1,1,13.1999998092651,3633.44,1.26359042670307,1.25232011537276,84619.2701957374,188276.310785371,6410.55086503433,14263.3570837797,6.19898433223406
"28",2014 jan,28,28,2014,"2014CCRPONTE","CCRPONTE",91660,6943.93994140625,154431,11699.3203125,5.15000009536743,6710,4,1,1,13.1999998092651,3836.37,1.19675109543657,1.1860769425264,108715.81255197,183167.048311294,8236.04652445994,13876.2917392415,6.10829636712406
"29",2015 jan,29,29,2015,"2015CONCEBRA","CONCEBRA",722771,614.340026855469,184987,157.240005493164,3.5,187,3.25999999046326,3,11,1176.5,4110.2,1.11702106953433,1.10705805070313,800149.454364751,204791.34762542,680.110033459202,174.068293774262,3.87470317746095
"30",2016 jan,30,30,2016,"2016CONCEBRA","CONCEBRA",387302,329.200012207031,350691,298.079986572266,3.20000004768372,553,3.89000010490417,3,11,1176.5,4550.23,1.00899954507794,1,387302,350691,329.198470038249,298.07989800255,3.20000004768372
"31",2012 jan,31,31,2012,"2012CONCEPA","CONCEPA",186592,1542.07995605469,199499,1648.75,8.53999996185303,5545,3,1,3,121,3422.79,1.34135602826934,1.32939210410221,248053.931488639,265212.395376287,2050.03249164165,2191.83797831642,11.3530085183206
"32",2013 jan,32,32,2013,"2013CONCEPA","CONCEPA",173973,1437.7900390625,229309,1895.11999511719,9.30000019073486,5910,3,1,3,121,3633.44,1.26359042670307,1.25232011537276,217869.887431745,287168.273336012,1800.57758208054,2373.29151517365,11.6465773118278
