conc,tar,etp,npp,ext,dEtapa2,dEtapa3,custm,recm,avgm,tarm,dmu,deascore_o,deascore_bc,deascore_sw
CONCEPA,8.54,1,3,121,0,0,7.6256108,7.6924958,1.0986123,11.353008,8,.79105645,.7907564,.78713816
NOVADUTRA,10.09,1,3,402,0,0,7.8508062,8.1531668,1.3862944,13.413567,17,.99820209,.99782997,.9935773
CCRPONTE,4.8800001,1,1,13.2,0,0,8.642333,9.5806704,1.3862944,6.4874334,6,.99820209,.99783355,.99397439
ECOSUL,8.4499998,1,5,623.79999,0,0,4.9536991,5.7511635,1.22083,11.233363,14,1,1,.8718822
CONCER,8,1,3,179.89999,0,0,7.3138728,7.4662566,1.1755733,10.635137,9,.84647226,.84614116,.8419621
CRT,12.22,1,1,142.5,0,0,6.739501,7.3220267,1.3862944,16.245173,11,.99820209,.99743807,.99021786
TRANSBRASILIANA,3.3,2,4,321.60001,1,0,5.9397063,5.867167,1.3862944,4.3869939,19,1,.96417999,.95627522
AUTOFERNAODIAS,1.4,2,8,562.09998,1,0,6.8494854,6.2768502,1.1908876,1.861149,1,.8574993,.85624689,.8505488
AUTOLITORALSUL,1.5,2,5,382.29999,1,0,6.9953141,6.4056177,1.2527629,1.9940882,3,.90205264,.90119338,.89574939
VIABAHIA,2.3,2,7,680.59998,1,0,6.4446502,6.0161829,1.3812819,3.0576017,21,.99459285,.98675865,.9789958
AUTOPLANALTOSUL,3.5999999,2,5,412.70001,1,0,6.5275869,5.6969032,1.1505721,4.7858114,4,.82852912,.81767952,.8133682
AUTOREGIS,1.8,2,6,401.60001,1,0,7.1450109,6.7690716,1.3862944,2.3929057,5,.99820209,.9976998,.99204808
RODOVIADOACO,4.5,2,3,200.39999,1,0,6.7116284,6.158206,1.3862944,5.9822645,18,.99820209,.9957273,.98885751
AUTOFLUMINENSE,3.0999999,2,5,320.10001,1,0,6.9794121,6.4360619,1.0986123,4.1211152,2,.79105645,.79034716,.7855441
MSVIA,6.0999999,3,9,847.20001,0,1,6.6107845,4.7574973,1.3862944,6.7530541,16,1,1,.88454688
ECO101,5.4000001,3,7,475.89999,0,1,6.1825848,6.05339,1.1346227,5.9781137,12,.81698579,.80283856,.79675889
VIA040,4.8000002,3,11,936.79999,0,1,6.0433583,5.7356696,1.3887913,4.8000002,20,1,.96576726,.95436525
CONCEBRA,3.5,3,11,1176.5,0,1,6.5222545,5.1594477,1.1817272,3.8747032,7,.85180551,.81189966,.80032146
ECOPONTE,3.5,3,1,13.2,0,1,7.7745767,8.5734425,1.3862944,3.8747032,13,.99820209,.9978314,.99371719
CRO,3.45,3,9,850.90002,0,1,7.0472946,5.1309934,1.329724,3.8193502,10,.95853382,.91860157,.9180755
MGORODOVIAS,3.4000001,3,6,436.60001,0,1,6.652544,5.6437597,1.3862944,3.7639976,15,.99837071,.9855839,.98150969
